"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","DELETE/objects should delete the record created by POST request","chromium","2026-07-01","skipped","2026-07-01","API Testing","API_Testing/API_tests.spec.js","",""
"","0","PATCH/objects should update record price to $500","chromium","2026-07-01","skipped","2026-07-01","API Testing","API_Testing/API_tests.spec.js","",""
"","0","Log in with valid credentials","chromium","2026-07-01","skipped","2026-07-01","Login Page","assignment1.spec.js","",""
"","0","Negative Login test with invalid password","chromium","2026-07-01","skipped","2026-07-01","","assignment3.spec.js","",""
"","0","Log in with invalid username","chromium","2026-07-01","skipped","2026-07-01","Login Page","assignment1.spec.js","",""
"","1","Get/objects should return a list of objects","chromium","2026-07-01","skipped","2026-07-01","API Testing","API_Testing/API_tests.spec.js","",""
"","0","Login test","chromium","2026-07-01","skipped","2026-07-01","","assignment2.spec.js","",""
"","0","Negative Login test with invalid username","chromium","2026-07-01","skipped","2026-07-01","","assignment3.spec.js","",""
"","1","PUT/objects should update record created by the POST request","chromium","2026-07-01","skipped","2026-07-01","API Testing","API_Testing/API_tests.spec.js","",""
"","0","get started link","chromium","2026-07-01","skipped","2026-07-01","","example.spec.js","",""
"","0","Verify logged-in state","chromium","2026-07-01","skipped","2026-07-01","Login Test","assignment4.spec.js","",""
"","0","has title","chromium","2026-07-01","skipped","2026-07-01","","example.spec.js","",""
"","532","Log in to the application","setup","2026-07-01","failed","2026-07-01","","auth.setup.js","",""
"","0","POST/objects should create a new object with provided data","chromium","2026-07-01","skipped","2026-07-01","API Testing","API_Testing/API_tests.spec.js","",""
"","0","Positive Login test","chromium","2026-07-01","skipped","2026-07-01","","assignment3.spec.js","",""
"","0","Login test with env data","chromium","2026-07-01","skipped","2026-07-01","","assignment2.spec.js","",""
"","0","Log in with invalid password","chromium","2026-07-01","skipped","2026-07-01","Login Page","assignment1.spec.js","",""
